year,donor_name,recipient_name,Principal gender equality,Principal all climate,Principal disability,usd_disbursement_deflated
2018,Sweden,Kosovo,FALSE,FALSE,FALSE,15.421961
2018,Sweden,Cambodia,FALSE,FALSE,FALSE,19.600455
2018,Greece,Albania,FALSE,FALSE,FALSE,1.414748
2018,Greece,Montenegro,FALSE,FALSE,FALSE,0.035301
2018,Greece,Azerbaijan,FALSE,FALSE,FALSE,0.040944
2018,Greece,Moldova,FALSE,FALSE,FALSE,0.024709
2018,Greece,Ukraine,FALSE,FALSE,FALSE,0.371712
2018,Greece,Georgia,FALSE,FALSE,FALSE,0.0398
2018,Greece,Serbia,FALSE,FALSE,FALSE,0.212231
2018,Greece,Türkiye,FALSE,FALSE,FALSE,6.571905
2018,Greece,Jordan,FALSE,FALSE,FALSE,0.056221
2018,Austria,Georgia,FALSE,FALSE,FALSE,5.537359
2018,Austria,Ukraine,FALSE,TRUE,FALSE,1.772546
2018,Austria,Bhutan,FALSE,TRUE,FALSE,0.502005
2018,Japan,Argentina,FALSE,FALSE,FALSE,3.510518
2018,Japan,West Bank and Gaza Strip,FALSE,FALSE,FALSE,40.852254
2018,Japan,Pakistan,FALSE,FALSE,FALSE,82.8483779999999
2018,Japan,Türkiye,FALSE,FALSE,FALSE,100.004375
2018,Japan,Nepal,FALSE,FALSE,FALSE,98.5752590000001
2018,Japan,Myanmar,FALSE,FALSE,FALSE,445.256988
2018,Japan,Iran,FALSE,FALSE,FALSE,12.889787
2018,Japan,Iraq,FALSE,FALSE,FALSE,448.648998
2018,Japan,India,FALSE,FALSE,FALSE,1196.547977
2018,Japan,Bolivia,FALSE,FALSE,FALSE,7.051103
2018,Japan,Sri Lanka,FALSE,FALSE,FALSE,114.327482
2018,Japan,Afghanistan,FALSE,FALSE,FALSE,148.914945
2018,Japan,Viet Nam,FALSE,FALSE,FALSE,567.00933
2018,Japan,Lao People's Democratic Republic,FALSE,FALSE,FALSE,73.0158549999999
2018,Japan,Uzbekistan,FALSE,FALSE,FALSE,45.450582
2018,Japan,Dominican Republic,FALSE,FALSE,FALSE,4.479325
2018,Japan,Vanuatu,FALSE,FALSE,FALSE,11.175927
2018,Japan,El Salvador,TRUE,FALSE,FALSE,0.181482
2018,Japan,Bhutan,FALSE,FALSE,FALSE,15.85528
2018,Japan,Brazil,FALSE,FALSE,FALSE,40.912254
2018,Japan,Mexico,FALSE,FALSE,FALSE,6.374159
2018,Japan,Kazakhstan,FALSE,FALSE,FALSE,0.985308
2018,Japan,Viet Nam,TRUE,FALSE,FALSE,0.778838
2018,Japan,Kyrgyzstan,FALSE,FALSE,FALSE,22.497668
2018,Japan,Papua New Guinea,FALSE,FALSE,FALSE,47.749747
2018,Japan,Cuba,FALSE,FALSE,FALSE,40.273728
2018,Japan,Indonesia,FALSE,FALSE,FALSE,282.976791
2018,Japan,Grenada,FALSE,FALSE,FALSE,0.115035
2018,Japan,Moldova,FALSE,FALSE,FALSE,0.96796
2018,Japan,Colombia,FALSE,FALSE,FALSE,8.006418
2018,Japan,Thailand,FALSE,FALSE,FALSE,229.411921
2018,Japan,Mongolia,FALSE,FALSE,FALSE,55.680805
2018,Japan,Peru,FALSE,FALSE,FALSE,27.158838
2018,Japan,Jordan,FALSE,FALSE,FALSE,28.827585
2018,Japan,Honduras,FALSE,FALSE,FALSE,13.197006
2018,Japan,Fiji,FALSE,FALSE,FALSE,5.922459
2018,Japan,Haiti,FALSE,FALSE,FALSE,30.151005
2018,Japan,Kosovo,FALSE,FALSE,FALSE,3.806864
2018,Japan,Marshall Islands,FALSE,FALSE,FALSE,3.479177
2018,Japan,Malaysia,FALSE,FALSE,FALSE,16.236835
2018,Japan,Ecuador,FALSE,FALSE,FALSE,6.071855
2018,Japan,Solomon Islands,FALSE,FALSE,FALSE,20.650052
2018,Japan,Cambodia,FALSE,FALSE,FALSE,127.166793
2018,Japan,Samoa,FALSE,FALSE,FALSE,21.256372
2018,Japan,Bangladesh,FALSE,TRUE,FALSE,127.405605
2018,Japan,Philippines,FALSE,FALSE,FALSE,438.240383
2018,Japan,Bangladesh,FALSE,FALSE,FALSE,962.293641999999
2018,Japan,Paraguay,FALSE,FALSE,FALSE,33.549011
2018,Japan,Belarus,FALSE,FALSE,FALSE,0.500001
2018,Japan,North Macedonia,FALSE,FALSE,FALSE,1.114482
2018,Japan,Albania,FALSE,FALSE,FALSE,5.238275
2018,Japan,Kiribati,FALSE,FALSE,FALSE,18.501121
2018,Japan,Tajikistan,FALSE,FALSE,FALSE,32.234657
2018,Japan,China (People's Republic of),FALSE,FALSE,FALSE,4.357334
2018,Japan,Bosnia and Herzegovina,FALSE,FALSE,FALSE,37.935766
2018,Japan,Syrian Arab Republic,FALSE,FALSE,FALSE,48.032536
2018,Japan,Malaysia,TRUE,FALSE,FALSE,0.06435
2018,Japan,Guyana,FALSE,FALSE,FALSE,1.421762
2018,Japan,Azerbaijan,FALSE,FALSE,FALSE,36.645675
2018,Japan,Guatemala,TRUE,FALSE,FALSE,0.43407
2018,Japan,Viet Nam,FALSE,TRUE,FALSE,7.635036
2018,Japan,El Salvador,FALSE,FALSE,FALSE,12.319823
2018,Japan,India,FALSE,TRUE,FALSE,709.660781
2018,Japan,Fiji,FALSE,TRUE,FALSE,0.276882
2018,Japan,Timor-Leste,FALSE,FALSE,FALSE,26.953055
2018,Japan,Serbia,FALSE,FALSE,FALSE,5.061371
2018,Japan,Ukraine,FALSE,FALSE,FALSE,11.718751
2018,Japan,Georgia,FALSE,FALSE,FALSE,4.705204
2018,Japan,Maldives,FALSE,FALSE,FALSE,3.497619
2018,Japan,Lao People's Democratic Republic,FALSE,TRUE,FALSE,2.234156
2018,Japan,Peru,TRUE,FALSE,FALSE,0.034476
2018,Japan,Moldova,TRUE,FALSE,FALSE,0.061551
2018,Japan,Lebanon,FALSE,FALSE,FALSE,10.977309
2018,Japan,Mongolia,FALSE,TRUE,FALSE,19.084337
2018,Japan,Tajikistan,TRUE,FALSE,FALSE,0.128187
2018,Japan,Tonga,FALSE,FALSE,FALSE,11.562764
2018,Japan,Indonesia,FALSE,TRUE,FALSE,261.494817
2018,Japan,Iraq,TRUE,FALSE,FALSE,2.220578
2018,Japan,Palau,FALSE,FALSE,FALSE,12.41474
