crs_id,year,donor_name,recipient_name,purpose_name,sector_name,project_title,short_description,long_description,climate_adaptation,climate_mitigation,Climate adaptation - principal objective confidence,Climate mitigation - principal objective confidence,Climate keyword match
2018001925,2018,Germany,India,Agricultural water resources,III.1.a. Agriculture,Climate change adaptation for sustainable livelihood in Marathwada,CLIMATE CHANGE ADAPTATION FOR SUSTAINABLE LIVELIHOOD IN MARATHWADA,Climate change adaptation for sustainable livelihood in Marathwada,0,2,0.987473845481873,0.308456957340241,TRUE
2018021639A,2018,United States,Viet Nam,Democratic participation and civil society,I.5.a. Government & Civil Society-general,Red River Delta Adaptation and Youth (READY),RED RIVER DELTA ADAPTATION AND YOUTH (READY),"The overarching goal of READY is to promote effective and innovative climate change adaptation (CCA) initiatives in the Red River Delta. The intermediate expected objectives of the project are:?Passionate and trained local youth develop and implement innovative CCA initiatives?Strengthened institutional capacity among district authorities to lead CCA initiatives is demonstrated?Local NGOs and civil society representatives demonstrate greater capacity to shape and drive CCA activities in their areas?Innovative initiatives developed within, and in conjunction with, the project are scaled-up, institutionalized and replicated across four target districts.",0,2,0.983010113239288,0.386860609054565,TRUE
2018019752,2018,United States,Haiti,Public finance management (PFM),I.5.a. Government & Civil Society-general,Adaptation Thought Leadership and Analysis (ATLAS),ADAPTATION THOUGHT LEADERSHIP AND ANALYSIS (ATLAS),"As a consequence of the region's high level of vulnerability and relative lack of adaptive capacity, the need for technical support and capacity building is particularly acute in Africa. The Africa Regional program is allocating $1,075,000 in direct GCC-AD funds to the ATLAS contract to be awarded in September, 2014. This investment supports bilateral analysis in Africa Bureau countries, thought leadership in emerging areas of adaptation, and expert workshops and meetings related to technical areas of adaptation or in support of USAID staff working on adaptation and integration. Countries that will directly benefit from the analysis include Ethiopia and Mozambique. All countries receiving adaptation funds will benefit from the thought leadership and workshops, including Ethiopia, Kenya, Malawi, Mali, Mozambique, Rwanda, Senegal, Tanzania, and Uganda, as well as the regional missions East Africa, West Africa, and Southern Africa.",0,2,0.990403294563293,0.363661140203476,TRUE
2018021639B,2018,United States,Viet Nam,Biosphere protection,IV.1. General Environment Protection,Red River Delta Adaptation and Youth (READY),RED RIVER DELTA ADAPTATION AND YOUTH (READY),"The overarching goal of READY is to promote effective and innovative climate change adaptation (CCA) initiatives in the Red River Delta. The intermediate expected objectives of the project are:?Passionate and trained local youth develop and implement innovative CCA initiatives?Strengthened institutional capacity among district authorities to lead CCA initiatives is demonstrated?Local NGOs and civil society representatives demonstrate greater capacity to shape and drive CCA activities in their areas?Innovative initiatives developed within, and in conjunction with, the project are scaled-up, institutionalized and replicated across four target districts.",0,2,0.983010113239288,0.386860609054565,TRUE
2018019751,2018,United States,West Bank and Gaza Strip,Multisector aid,IV.2. Other Multisector,Adaptation Thought Leadership and Analysis (ATLAS),ADAPTATION THOUGHT LEADERSHIP AND ANALYSIS (ATLAS),"As a consequence of the region's high level of vulnerability and relative lack of adaptive capacity, the need for technical support and capacity building is particularly acute in Africa. The Africa Regional program is allocating $1,075,000 in direct GCC-AD funds to the ATLAS contract to be awarded in September, 2014. This investment supports bilateral analysis in Africa Bureau countries, thought leadership in emerging areas of adaptation, and expert workshops and meetings related to technical areas of adaptation or in support of USAID staff working on adaptation and integration. Countries that will directly benefit from the analysis include Ethiopia and Mozambique. All countries receiving adaptation funds will benefit from the thought leadership and workshops, including Ethiopia, Kenya, Malawi, Mali, Mozambique, Rwanda, Senegal, Tanzania, and Uganda, as well as the regional missions East Africa, West Africa, and Southern Africa.",0,2,0.990403294563293,0.363661140203476,TRUE
2018019753,2018,United States,India,Agricultural policy and administrative management,III.1.a. Agriculture,Adaptation Thought Leadership and Analysis (ATLAS),ADAPTATION THOUGHT LEADERSHIP AND ANALYSIS (ATLAS),"As a consequence of the region's high level of vulnerability and relative lack of adaptive capacity, the need for technical support and capacity building is particularly acute in Africa. The Africa Regional program is allocating $1,075,000 in direct GCC-AD funds to the ATLAS contract to be awarded in September, 2014. This investment supports bilateral analysis in Africa Bureau countries, thought leadership in emerging areas of adaptation, and expert workshops and meetings related to technical areas of adaptation or in support of USAID staff working on adaptation and integration. Countries that will directly benefit from the analysis include Ethiopia and Mozambique. All countries receiving adaptation funds will benefit from the thought leadership and workshops, including Ethiopia, Kenya, Malawi, Mali, Mozambique, Rwanda, Senegal, Tanzania, and Uganda, as well as the regional missions East Africa, West Africa, and Southern Africa.",0,2,0.990403294563293,0.363661140203476,TRUE
2018019750B,2018,United States,Sri Lanka,Multisector aid,IV.2. Other Multisector,Adaptation Thought Leadership and Analysis (ATLAS),ADAPTATION THOUGHT LEADERSHIP AND ANALYSIS (ATLAS),"As a consequence of the region's high level of vulnerability and relative lack of adaptive capacity, the need for technical support and capacity building is particularly acute in Africa. The Africa Regional program is allocating $1,075,000 in direct GCC-AD funds to the ATLAS contract to be awarded in September, 2014. This investment supports bilateral analysis in Africa Bureau countries, thought leadership in emerging areas of adaptation, and expert workshops and meetings related to technical areas of adaptation or in support of USAID staff working on adaptation and integration. Countries that will directly benefit from the analysis include Ethiopia and Mozambique. All countries receiving adaptation funds will benefit from the thought leadership and workshops, including Ethiopia, Kenya, Malawi, Mali, Mozambique, Rwanda, Senegal, Tanzania, and Uganda, as well as the regional missions East Africa, West Africa, and Southern Africa.",0,2,0.990403294563293,0.363661140203476,TRUE
2018019824,2018,United States,Peru,Biosphere protection,IV.1. General Environment Protection,Cajamarca Mining and Water Conflict,CAJAMARCA MINING AND WATER CONFLICT,This project will improve local capacity for environmental governance and natural resource management for adaptation to climate change.,0,2,0.965482234954834,0.450803130865097,TRUE
2018014162,2018,United States,Indonesia,Biosphere protection,IV.1. General Environment Protection,"Enhancing Disaster and Climate Change Resilience in Padang Pariaman Farming Communities, West Sumatera Phase #2","ENHANCING DISASTER AND CLIMATE CHANGE RESILIENCE IN PADANG PARIAMAN FARMING COMMUNITIES, WEST SUMATERA PHASE #2","Enhancing Disaster and Climate Change Resilience in Padang Pariaman Farming Communities, West Sumatera Phase #2",0,2,0.988424301147461,0.311929762363434,TRUE
2018019754,2018,United States,Timor-Leste,Multisector aid,IV.2. Other Multisector,Adaptation Thought Leadership and Analysis (ATLAS),ADAPTATION THOUGHT LEADERSHIP AND ANALYSIS (ATLAS),"As a consequence of the region's high level of vulnerability and relative lack of adaptive capacity, the need for technical support and capacity building is particularly acute in Africa. The Africa Regional program is allocating $1,075,000 in direct GCC-AD funds to the ATLAS contract to be awarded in September, 2014. This investment supports bilateral analysis in Africa Bureau countries, thought leadership in emerging areas of adaptation, and expert workshops and meetings related to technical areas of adaptation or in support of USAID staff working on adaptation and integration. Countries that will directly benefit from the analysis include Ethiopia and Mozambique. All countries receiving adaptation funds will benefit from the thought leadership and workshops, including Ethiopia, Kenya, Malawi, Mali, Mozambique, Rwanda, Senegal, Tanzania, and Uganda, as well as the regional missions East Africa, West Africa, and Southern Africa.",0,2,0.990403294563293,0.363661140203476,TRUE
