crs_id,year,donor_name,recipient_name,purpose_name,sector_name,project_title,short_description,long_description,climate_adaptation,climate_mitigation,Climate adaptation - principal objective confidence,Climate mitigation - principal objective confidence,Climate keyword match,desc_len,desc_good
20183799188,2018,France,Bangladesh,Material relief assistance and services,VIII.1. Emergency Response,Intervention d'urgence-Assistance matérielle et services d'urgence,INTERVENTION D'URGENCE-ASSISTANCE MATÉRIELLE ET SERVICES D'URGENCE,Intervention d'urgence-Assistance matérielle et services d'urgence,2,2,0.00820708088576794,0.00905550364404917,FALSE,66,TRUE
2018290916,2019,Sweden,Cambodia,Research/scientific institutions,IV.2. Other Multisector,Regional Cooperation and the Transformation of National Sovereignty in the Global South,REGIONAL COOPERATION AND THE TRANSFORMATION OF NATIONAL SOVEREIGNTY IN THE GLOBAL SOUTH,"This project aims to explain the different levels of regional cooperation on transboundary policy challenges in the Global South. Dominant theories fail to explain the contradictory trends regarding how developing states respond to such challenges. In some policy fields, regional cooperation is weak despite strong norms and institutions promoting regional solutions, whereas in others, it is strong although no substantial norms or institutions support it. We claim that the key to explaining this puzzle lies in the understandings of national sovereignty that the involved states develop in specific policy fields. Our main proposition is that the level of cooperation on a given transboundary policy challenge depends on whether states redefine and transform their national sovereignty in a way that sees regional cooperation as enhancing rather than constraining state autonomy. Focusing on transboundary rivers and communicable diseases, the project analyzes and compares the national sovereignty understandings of states in Africa and Southeast Asia, and how they relate to ideas about regional cooperation. The innovative comparative case study design, which includes comparison across both policy fields and regions, makes robust theory building possible. The project enhances our understanding of the conditions for regional cooperation in the Global South, and questions Western-centric and Eurocentric ideas about the link between national sovereignty and regional cooperation.",2,2,0.00854982528835535,0.00709564564749599,FALSE,1489,TRUE
20190801656,2019,France,India,Higher education,I.1.d. Post-Secondary Education,Education post-secondaire-Enseignement supérieur,EDUCATION POST-SECONDAIRE-ENSEIGNEMENT SUPÉRIEUR,Education post-secondaire-Enseignement supérieur,2,2,0.00935268215835094,0.00827437173575163,FALSE,48,FALSE
2018290916,2020,Sweden,Cambodia,Research/scientific institutions,IV.2. Other Multisector,Regional Cooperation and the Transformation of National Sovereignty in the Global South,REGIONAL COOPERATION AND THE TRANSFORMATION OF NATIONAL SOVEREIGNTY IN THE GLOBAL SOUTH,"This project aims to explain the different levels of regional cooperation on transboundary policy challenges in the Global South. Dominant theories fail to explain the contradictory trends regarding how developing states respond to such challenges. In some policy fields, regional cooperation is weak despite strong norms and institutions promoting regional solutions, whereas in others, it is strong although no substantial norms or institutions support it. We claim that the key to explaining this puzzle lies in the understandings of national sovereignty that the involved states develop in specific policy fields. Our main proposition is that the level of cooperation on a given transboundary policy challenge depends on whether states redefine and transform their national sovereignty in a way that sees regional cooperation as enhancing rather than constraining state autonomy. Focusing on transboundary rivers and communicable diseases, the project analyzes and compares the national sovereignty understandings of states in Africa and Southeast Asia, and how they relate to ideas about regional cooperation. The innovative comparative case study design, which includes comparison across both policy fields and regions, makes robust theory building possible. The project enhances our understanding of the conditions for regional cooperation in the Global South, and questions Western-centric and Eurocentric ideas about the link between national sovereignty and regional cooperation.",2,2,0.00854982528835535,0.00709564564749599,FALSE,1489,TRUE
2020080456,2020,France,Lebanon,Material relief assistance and services,VIII.1. Emergency Response,Intervention d'urgence-Assistance matérielle et services d'urgence,INTERVENTION D'URGENCE-ASSISTANCE MATÉRIELLE ET SERVICES D'URGENCE,Intervention d'urgence-Assistance matérielle et services d'urgence,2,2,0.00820708088576794,0.00905550364404917,FALSE,66,TRUE
2020085076,2020,Italy,Nepal,Medical services,"I.2.a. Health, General","Improving patient care in Dhulikhel Hospital by providing instrumentation and equipment to the surgery department, Dhulikhel, Kavre District, Nepal","IMPROVING PATIENT CARE IN DHULIKHEL HOSPITAL BY PROVIDING INSTRUMENTATION AND EQUIPMENT TO THE SURGERY DEPARTMENT, DHULIKHEL, KAVRE DISTRICT, NEPAL","Purchase of medical equipment for the Dhulikhel Hospital, located close to the Himalaya and since 1996 offering high quality medical services, aligned with the european standards, to more than 2,3 million people.",2,2,0.00725005054846406,0.00828054081648588,FALSE,212,TRUE
2019000540,2020,Italy,Kosovo,Multisector aid for basic social services,I.6. Other Social Infrastructure & Services,"Social Inclusion Of Roma, Ashkali And Egyptian Children And Youth","SOCIAL INCLUSION OF ROMA, ASHKALI AND EGYPTIAN CHILDREN AND YOUTH","Promotioning the inclusion of Roma, Ashkali and Egyptian children in the local education system through study support courses, pre-school activities, summer training programmes",2,2,0.0058643096126616,0.0085218558087945,FALSE,176,TRUE
2018290916,2021,Sweden,Cambodia,Research/scientific institutions,IV.2. Other Multisector,Regional Cooperation and the Transformation of National Sovereignty in the Global South,REGIONAL COOPERATION AND THE TRANSFORMATION OF NATIONAL SOVEREIGNTY IN THE GLOBAL SOUTH,"This project aims to explain the different levels of regional cooperation on transboundary policy challenges in the Global South. Dominant theories fail to explain the contradictory trends regarding how developing states respond to such challenges. In some policy fields, regional cooperation is weak despite strong norms and institutions promoting regional solutions, whereas in others, it is strong although no substantial norms or institutions support it. We claim that the key to explaining this puzzle lies in the understandings of national sovereignty that the involved states develop in specific policy fields. Our main proposition is that the level of cooperation on a given transboundary policy challenge depends on whether states redefine and transform their national sovereignty in a way that sees regional cooperation as enhancing rather than constraining state autonomy. Focusing on transboundary rivers and communicable diseases, the project analyzes and compares the national sovereignty understandings of states in Africa and Southeast Asia, and how they relate to ideas about regional cooperation. The innovative comparative case study design, which includes comparison across both policy fields and regions, makes robust theory building possible. The project enhances our understanding of the conditions for regional cooperation in the Global South, and questions Western-centric and Eurocentric ideas about the link between national sovereignty and regional cooperation.",2,2,0.00854982528835535,0.00709564564749599,FALSE,1489,TRUE
2021005480-1,2021,Spain,Mexico,Educational research,"I.1.a. Education, Level Unspecified",Flipped Learning International,FLIPPED LEARNING INTERNATIONAL,La metodología docente conocida como Flipped Learning (Aprendizaje Inverso) o Flipped Classroom (Clase Inversa) consiste en transferir parte del proceso de aprendizaje fuera del aula.,2,2,0.00720853498205543,0.00775401433929801,FALSE,183,TRUE
2020085076,2022,Italy,Nepal,Medical services,"I.2.a. Health, General","IMPROVING PATIENT CARE IN DHULIKHEL HOSPITAL BY PROVIDING INSTRUMENTATION AND EQUIPMENT TO THE SURGERY DEPARTMENT, DHULIKHEL, KAVRE DISTRICT, NEPAL","IMPROVING PATIENT CARE IN DHULIKHEL HOSPITAL BY PROVIDING INSTRUMENTATION AND EQUIPMENT TO THE SURGERY DEPARTMENT, DHULIKHEL, KAVRE DISTRICT, NEPAL","Purchase of medical equipment for the Dhulikhel Hospital, located close to the Himalaya and since 1996 offering high quality medical services, aligned with the european standards, to more than 2,3 million people.",2,2,0.00725005054846406,0.00828054081648588,FALSE,212,TRUE
