year,Principal gender equality,Principal all climate,Principal disability,usd_disbursement_deflated
2018,FALSE,FALSE,FALSE,74845.3287590006
2018,FALSE,TRUE,FALSE,8574.31050000002
2018,TRUE,FALSE,FALSE,1765.93746599999
2018,FALSE,FALSE,TRUE,184.104868
2018,TRUE,TRUE,FALSE,142.311668
2018,TRUE,FALSE,TRUE,10.103222
2018,TRUE,TRUE,TRUE,6.354002
2018,FALSE,TRUE,TRUE,0.034606
2019,FALSE,FALSE,FALSE,69446.1653690014
2019,FALSE,TRUE,FALSE,8705.11312400003
2019,TRUE,FALSE,FALSE,2133.37331700001
2019,FALSE,FALSE,TRUE,244.706992
2019,TRUE,TRUE,TRUE,10.908577
2019,TRUE,TRUE,FALSE,46.497226
2019,TRUE,FALSE,TRUE,62.5831
2019,FALSE,TRUE,TRUE,0.107605
2020,FALSE,FALSE,FALSE,79978.0176459996
2020,TRUE,FALSE,FALSE,2002.58976400001
2020,FALSE,TRUE,FALSE,8569.39246699998
2020,FALSE,FALSE,TRUE,223.733383
2020,TRUE,FALSE,TRUE,71.670295
2020,TRUE,TRUE,FALSE,90.3493600000001
2020,TRUE,TRUE,TRUE,0.294407
2020,FALSE,TRUE,TRUE,1.09957
2021,TRUE,FALSE,FALSE,2169.67225399999
2021,FALSE,FALSE,FALSE,74956.4186080102
2021,FALSE,TRUE,FALSE,9077.87921700001
2021,FALSE,FALSE,TRUE,470.401483
2021,TRUE,FALSE,TRUE,52.22446
2021,TRUE,TRUE,FALSE,157.975609
2021,TRUE,TRUE,TRUE,0.004159
2021,FALSE,TRUE,TRUE,0.340915
2022,FALSE,FALSE,FALSE,95601.4143449973
2022,TRUE,FALSE,FALSE,1982.75678
2022,FALSE,TRUE,FALSE,12565.078518
2022,FALSE,FALSE,TRUE,322.312622
2022,FALSE,TRUE,TRUE,0.391329
2022,TRUE,TRUE,FALSE,103.647336
2022,TRUE,FALSE,TRUE,67.753364
2022,TRUE,TRUE,TRUE,0.105764
