year,donor_name,recipient_name,Principal gender equality,Principal all climate,Principal disability,flow_name,usd_disbursement_deflated
2018,Sweden,"Africa, regional",FALSE,TRUE,FALSE,ODA Grants,12.214947
2018,Sweden,Democratic Republic of the Congo,TRUE,FALSE,FALSE,ODA Grants,6.611229
2018,Norway,Kenya,FALSE,FALSE,FALSE,ODA Grants,15.359254
2018,Greece,Egypt,FALSE,FALSE,FALSE,ODA Grants,0.376118
2018,Greece,Ethiopia,FALSE,FALSE,FALSE,ODA Grants,0.063838
2018,Greece,Democratic Republic of the Congo,FALSE,FALSE,FALSE,ODA Grants,0.069544
2018,Greece,South Africa,FALSE,FALSE,FALSE,ODA Grants,0.100767
2018,Austria,Mozambique,FALSE,FALSE,FALSE,ODA Grants,6.193473
2018,Austria,Burkina Faso,FALSE,FALSE,FALSE,ODA Grants,4.624012
2018,Austria,"Africa, regional",FALSE,TRUE,FALSE,ODA Grants,1.088533
2018,Austria,Burkina Faso,FALSE,TRUE,FALSE,ODA Grants,0.218105
2018,Austria,Uganda,FALSE,TRUE,FALSE,ODA Grants,0.377316
2018,Austria,"Africa, regional",FALSE,FALSE,FALSE,ODA Grants,5.197097
2018,Austria,Uganda,FALSE,FALSE,FALSE,ODA Grants,6.502104
2018,Japan,Burkina Faso,FALSE,FALSE,FALSE,ODA Grants,13.436006
2018,Japan,Malawi,FALSE,FALSE,FALSE,ODA Grants,17.80873
2018,Japan,Uganda,FALSE,FALSE,FALSE,ODA Loans,32.254295
2018,Japan,Tunisia,FALSE,TRUE,FALSE,ODA Loans,84.065926
2018,Japan,Senegal,FALSE,FALSE,FALSE,ODA Grants,19.316216
2018,Japan,Ghana,FALSE,FALSE,FALSE,ODA Grants,58.475196
2018,Japan,Zambia,FALSE,FALSE,FALSE,ODA Grants,25.447269
2018,Japan,Lesotho,FALSE,FALSE,FALSE,ODA Grants,2.969924
2018,Japan,"Africa, regional",FALSE,FALSE,FALSE,ODA Grants,38.855225
2018,Japan,Ethiopia,TRUE,FALSE,FALSE,ODA Loans,30.599375
2018,Japan,Morocco,FALSE,FALSE,FALSE,ODA Grants,14.856343
2018,Japan,Nigeria,FALSE,FALSE,FALSE,ODA Grants,9.858984
2018,Japan,South Sudan,FALSE,FALSE,FALSE,ODA Grants,26.44386
2018,Japan,Egypt,FALSE,FALSE,FALSE,ODA Grants,18.290346
2018,Japan,Mozambique,FALSE,FALSE,FALSE,ODA Grants,49.964289
2018,Japan,Democratic Republic of the Congo,FALSE,FALSE,FALSE,ODA Grants,32.569635
2018,Japan,Uganda,FALSE,FALSE,FALSE,ODA Grants,29.350437
2018,Japan,Kenya,FALSE,FALSE,FALSE,ODA Grants,47.373491
2018,Japan,Morocco,FALSE,FALSE,FALSE,ODA Loans,62.696442
2018,Japan,Democratic Republic of the Congo,TRUE,FALSE,FALSE,ODA Grants,3.102479
2018,Japan,Ethiopia,FALSE,FALSE,FALSE,ODA Grants,28.552369
2018,Japan,Kenya,FALSE,FALSE,FALSE,ODA Loans,52.989033
2018,Japan,Mozambique,FALSE,TRUE,FALSE,ODA Grants,0.341449
2018,Japan,Tunisia,FALSE,FALSE,FALSE,ODA Grants,2.569764
2018,Japan,Namibia,FALSE,FALSE,FALSE,ODA Grants,1.663431
2018,Japan,Angola,FALSE,FALSE,FALSE,ODA Grants,12.924221
2018,Japan,Botswana,FALSE,FALSE,FALSE,ODA Grants,2.524444
2018,Japan,Egypt,TRUE,FALSE,FALSE,ODA Grants,0.57793
2018,Japan,Senegal,FALSE,FALSE,FALSE,ODA Loans,2.506469
2018,Japan,Gabon,FALSE,FALSE,FALSE,ODA Grants,2.581354
2018,Japan,Rwanda,FALSE,FALSE,FALSE,ODA Grants,21.913591
2018,Japan,Côte d'Ivoire,FALSE,FALSE,FALSE,ODA Grants,21.017779
2018,Japan,Niger,FALSE,FALSE,FALSE,ODA Grants,10.47623
2018,Japan,Tanzania,FALSE,FALSE,FALSE,ODA Grants,36.518997
2018,Japan,Egypt,FALSE,FALSE,FALSE,ODA Loans,183.180697
2018,Japan,Liberia,FALSE,FALSE,FALSE,ODA Grants,16.117344
2018,Japan,Tunisia,FALSE,FALSE,FALSE,ODA Loans,46.012568
2018,Japan,Burundi,FALSE,FALSE,FALSE,ODA Grants,8.341037
2018,Japan,Rwanda,TRUE,FALSE,FALSE,ODA Grants,0.25622
2018,Japan,Sudan,FALSE,FALSE,FALSE,ODA Grants,23.938244
2018,Japan,Cameroon,FALSE,FALSE,FALSE,ODA Grants,6.898631
2018,Japan,Kenya,TRUE,FALSE,FALSE,ODA Grants,1.672184
2018,Japan,Madagascar,FALSE,FALSE,FALSE,ODA Grants,19.193649
2018,Japan,Senegal,TRUE,FALSE,FALSE,ODA Grants,0.133882
2018,Japan,Sudan,TRUE,FALSE,FALSE,ODA Grants,1.376693
2018,Japan,Zambia,FALSE,FALSE,FALSE,ODA Loans,0.665977
2018,Japan,Cabo Verde,FALSE,FALSE,FALSE,ODA Grants,3.428206
2018,Japan,South Africa,FALSE,FALSE,FALSE,ODA Grants,8.221074
2018,Japan,Cabo Verde,FALSE,TRUE,FALSE,ODA Loans,8.377317
2018,Japan,Sierra Leone,FALSE,FALSE,FALSE,ODA Grants,7.348013
2018,Japan,Mali,FALSE,FALSE,FALSE,ODA Grants,5.521929
2018,Japan,Eswatini,FALSE,FALSE,FALSE,ODA Grants,6.297073
2018,Japan,Democratic Republic of the Congo,FALSE,TRUE,FALSE,ODA Grants,1.279551
2018,Japan,Sao Tome and Principe,FALSE,FALSE,FALSE,ODA Grants,2.445508
2018,Japan,Botswana,FALSE,FALSE,FALSE,ODA Loans,7.92934
2018,Japan,Benin,FALSE,FALSE,FALSE,ODA Grants,12.180998
2018,Japan,Algeria,FALSE,FALSE,FALSE,ODA Grants,0.950458
2018,Japan,Zimbabwe,FALSE,FALSE,FALSE,ODA Grants,10.82801
2018,Japan,Egypt,FALSE,TRUE,FALSE,ODA Loans,49.540766
2018,Japan,Djibouti,FALSE,FALSE,FALSE,ODA Grants,8.00983
2018,Japan,Comoros,FALSE,FALSE,FALSE,ODA Grants,3.974273
2018,Japan,Guinea,FALSE,FALSE,FALSE,ODA Grants,15.342408
2018,Japan,"Africa, regional",TRUE,FALSE,FALSE,ODA Grants,9.364285
2018,Japan,Mauritius,FALSE,FALSE,FALSE,ODA Loans,0.055038
2018,Japan,Kenya,FALSE,TRUE,FALSE,ODA Loans,88.055339
2018,Japan,Mauritania,FALSE,FALSE,FALSE,ODA Grants,12.087254
2018,Japan,Sierra Leone,TRUE,FALSE,FALSE,ODA Grants,0.506582
2018,Japan,Nigeria,TRUE,FALSE,FALSE,ODA Grants,1.456683
2018,Japan,Tanzania,FALSE,FALSE,FALSE,ODA Loans,26.677825
2018,Japan,Somalia,FALSE,FALSE,FALSE,ODA Grants,8.676552
2018,Japan,Chad,FALSE,FALSE,FALSE,ODA Grants,4.767815
2018,Japan,Tanzania,FALSE,TRUE,FALSE,ODA Grants,0.223869
2018,Japan,South Africa,FALSE,TRUE,FALSE,ODA Grants,0.315658
2018,Japan,Côte d'Ivoire,TRUE,FALSE,FALSE,ODA Grants,0.026464
2018,Japan,South Sudan,TRUE,FALSE,FALSE,ODA Grants,1.195696
2018,Japan,Central African Republic,FALSE,FALSE,FALSE,ODA Grants,5.070302
2018,Japan,Togo,FALSE,FALSE,FALSE,ODA Grants,23.160986
2018,Japan,Mauritius,FALSE,FALSE,FALSE,ODA Grants,1.347028
2018,Japan,Gambia,FALSE,FALSE,FALSE,ODA Grants,2.960057
2018,Japan,Gabon,FALSE,TRUE,FALSE,ODA Grants,0.897788
2018,Japan,Ethiopia,TRUE,FALSE,FALSE,ODA Grants,0.053773
2018,Japan,Cameroon,FALSE,FALSE,FALSE,ODA Loans,5.931867
2018,Japan,Congo,FALSE,FALSE,FALSE,ODA Grants,2.373062
2018,Japan,Libya,FALSE,FALSE,FALSE,ODA Grants,1.047511
2018,Japan,Rwanda,FALSE,FALSE,FALSE,ODA Loans,10.070928
2018,Japan,Madagascar,FALSE,FALSE,FALSE,ODA Loans,16.964599
2018,Japan,Zambia,TRUE,FALSE,FALSE,ODA Loans,3.288749
2018,Japan,Equatorial Guinea,FALSE,FALSE,FALSE,ODA Grants,0.147592
2018,Japan,Cameroon,FALSE,TRUE,FALSE,ODA Grants,1.060663
2018,Japan,Angola,TRUE,FALSE,FALSE,ODA Grants,1.732516
2018,Japan,Mauritius,FALSE,TRUE,FALSE,ODA Grants,4.238571
2018,Japan,Mozambique,FALSE,FALSE,FALSE,ODA Loans,44.658545
2018,Japan,Ghana,TRUE,FALSE,FALSE,ODA Grants,1.421175
2018,Japan,Mozambique,FALSE,TRUE,FALSE,ODA Loans,27.840674
2018,Japan,Burkina Faso,TRUE,FALSE,FALSE,ODA Grants,0.068719
2018,Japan,Central African Republic,TRUE,FALSE,FALSE,ODA Grants,0.427034
2018,Japan,Burundi,TRUE,FALSE,FALSE,ODA Grants,0.078325
2018,Japan,Cameroon,FALSE,TRUE,FALSE,ODA Loans,5.119571
2018,Japan,Tanzania,FALSE,TRUE,FALSE,ODA Loans,3.765504
2018,Japan,Niger,FALSE,TRUE,FALSE,ODA Grants,0.079428
2018,Japan,Guinea-Bissau,FALSE,FALSE,FALSE,ODA Grants,0.353931
2018,Japan,Libya,TRUE,FALSE,FALSE,ODA Grants,0.085407
