program,value,vote,year,text
0702010 Management of Cabinet Affairs,1636071111,1011 Executive Office of the President,2022,1011 Executive Office of the President 0702010 Management of Cabinet Affairs
0702030 Resource Surveys and Remote Sensing,210808043,1011 Executive Office of the President,2022,1011 Executive Office of the President 0702030 Resource Surveys and Remote Sensing
0702000 Cabinet Affairs,1846879154,1011 Executive Office of the President,2022,1011 Executive Office of the President 0702000 Cabinet Affairs
0703010 State Corporations Advisory Services,31807310,1011 Executive Office of the President,2022,1011 Executive Office of the President 0703010 State Corporations Advisory Services
0703030 Power of Mercy Advisory Services,41194500,1011 Executive Office of the President,2022,1011 Executive Office of the President 0703030 Power of Mercy Advisory Services
0703060 Counter-Terrorism Advisory Services,5.25e+08,1011 Executive Office of the President,2022,1011 Executive Office of the President 0703060 Counter-Terrorism Advisory Services
0703070 Inspectorate of State Corporations,126298190,1011 Executive Office of the President,2022,1011 Executive Office of the President 0703070 Inspectorate of State Corporations
0703000 Government Advisory Services,724300000,1011 Executive Office of the President,2022,1011 Executive Office of the President 0703000 Government Advisory Services
0704010 Coordination of State House Functions,4065441244,1011 Executive Office of the President,2022,1011 Executive Office of the President 0704010 Coordination of State House Functions
0704020 Administration of Statutory benefits for the retired Presidents,302226472,1011 Executive Office of the President,2022,1011 Executive Office of the President 0704020 Administration of Statutory benefits for the retired Presidents
0704000 State House Affairs,4367667716,1011 Executive Office of the President,2022,1011 Executive Office of the President 0704000 State House Affairs
0734010 General Administration and Support Services,678162513,1011 Executive Office of the President,2022,1011 Executive Office of the President 0734010 General Administration and Support Services
0734020 Coordination and Supervision,1032689006,1011 Executive Office of the President,2022,1011 Executive Office of the President 0734020 Coordination and Supervision
0734000 Deputy President Services,1710851519,1011 Executive Office of the President,2022,1011 Executive Office of the President 0734000 Deputy President Services
0745010 General Administration and Support,2631194198,1011 Executive Office of the President,2022,1011 Executive Office of the President 0745010 General Administration and Support
0745030 Metropolitan Health Services,4885930765,1011 Executive Office of the President,2022,1011 Executive Office of the President 0745030 Metropolitan Health Services
"0745040 Metropolitan Transport, Roads and Public Works",3229735962,1011 Executive Office of the President,2022,"1011 Executive Office of the President 0745040 Metropolitan Transport, Roads and Public Works"
"0745050 Metropolitan Lands, Housing, Planning and Development",974908589,1011 Executive Office of the President,2022,"1011 Executive Office of the President 0745050 Metropolitan Lands, Housing, Planning and Development"
"0745060 Metropolitan Environment, Water, Waste and Ancillary Services",1940476754,1011 Executive Office of the President,2022,"1011 Executive Office of the President 0745060 Metropolitan Environment, Water, Waste and Ancillary Services"
"0745070 Metropolitan Energy, Reticulation and Public Lighting",755051722,1011 Executive Office of the President,2022,"1011 Executive Office of the President 0745070 Metropolitan Energy, Reticulation and Public Lighting"
0745000 Nairobi Metropolitan Services,14417297990,1011 Executive Office of the President,2022,1011 Executive Office of the President 0745000 Nairobi Metropolitan Services
0601010 Kenya Police Services,54113379011,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0601010 Kenya Police Services
0601020 Administration Police Services,24428462480,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0601020 Administration Police Services
0601030 Criminal Investigation Services,8798697659,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0601030 Criminal Investigation Services
0601040 General-Paramilitary Service,15775861978,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0601040 General-Paramilitary Service
0601000 Policing Services,103116401128,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0601000 Policing Services
0603010 Government Printing Services,1035289874,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0603010 Government Printing Services
0603000 Government Printing Services,1035289874,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0603000 Government Printing Services
0605020 Immigration Services,3525787289,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0605020 Immigration Services
0605030 Refugee Affairs,203696770,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0605030 Refugee Affairs
0605000 Migration & Citizen Services Management,3729484059,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0605000 Migration & Citizen Services Management
0625010 Road Safety,2825256159,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0625010 Road Safety
0625000 Road Safety,2825256159,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0625000 Road Safety
0626010 National Registration Bureau,4014680720,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0626010 National Registration Bureau
0626020 Civil Registration Services,911895379,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0626020 Civil Registration Services
0626030 Integrated Personal Registration Services,308816625,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0626030 Integrated Personal Registration Services
0626000 Population Management Services,5235392724,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0626000 Population Management Services
0629010 National Government Coordination Services,25353896904,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0629010 National Government Coordination Services
0629020 Betting Control & Lottery Policy Services,111011369,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0629020 Betting Control & Lottery Policy Services
0629030 Disaster Risk Reduction,37752325,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0629030 Disaster Risk Reduction
"0629040 Peace Building, National Cohesion and Values",500929244,1021 State Department for Interior and Citizen Services,2022,"1021 State Department for Interior and Citizen Services 0629040 Peace Building, National Cohesion and Values"
0629050 Government Chemist Services,428606895,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0629050 Government Chemist Services
0629000 General Administration and Support Services,26432196737,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0629000 General Administration and Support Services
0630010 National Campaign Against Drug and Substance Abuse,724990000,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0630010 National Campaign Against Drug and Substance Abuse
0630020 NGO Regulatory Services,254550000,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0630020 NGO Regulatory Services
0630030 Crime Research,178900000,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0630030 Crime Research
0630000 Policy Coordination Services,1158440000,1021 State Department for Interior and Citizen Services,2022,1021 State Department for Interior and Citizen Services 0630000 Policy Coordination Services
"0623010 Planning, Policy Coordination and Support Service",373002731,1023 State Department for Correctional Services,2022,"1023 State Department for Correctional Services 0623010 Planning, Policy Coordination and Support Service"
"0623000 General Administration, Planning and Support Services",373002731,1023 State Department for Correctional Services,2022,"1023 State Department for Correctional Services 0623000 General Administration, Planning and Support Services"
0627010 Offender Services,29017180858,1023 State Department for Correctional Services,2022,1023 State Department for Correctional Services 0627010 Offender Services
0627020 Capacity Development,713806713,1023 State Department for Correctional Services,2022,1023 State Department for Correctional Services 0627020 Capacity Development
0627000 Prison Services,29730987571,1023 State Department for Correctional Services,2022,1023 State Department for Correctional Services 0627000 Prison Services
0628010 Probation Services,1953736839,1023 State Department for Correctional Services,2022,1023 State Department for Correctional Services 0628010 Probation Services
0628020 After Care Services,160924409,1023 State Department for Correctional Services,2022,1023 State Department for Correctional Services 0628020 After Care Services
0628000 Probation & After Care Services,2114661248,1023 State Department for Correctional Services,2022,1023 State Department for Correctional Services 0628000 Probation & After Care Services
0712010 Management of devolution affairs,337246868,1032 Ministry of Devolution,2022,1032 Ministry of Devolution 0712010 Management of devolution affairs
0712020 Intergovernmental Relations,582587062,1032 Ministry of Devolution,2022,1032 Ministry of Devolution 0712020 Intergovernmental Relations
0712030 Capacity building and Civic Education,339541651,1032 Ministry of Devolution,2022,1032 Ministry of Devolution 0712030 Capacity building and Civic Education
0712040 Human Resources and Support Services,422051943,1032 Ministry of Devolution,2022,1032 Ministry of Devolution 0712040 Human Resources and Support Services
0712050 Finance Management Services,51101578,1032 Ministry of Devolution,2022,1032 Ministry of Devolution 0712050 Finance Management Services
0712060 Information Communication and Technology Services,9380898,1032 Ministry of Devolution,2022,1032 Ministry of Devolution 0712060 Information Communication and Technology Services
0712000 Devolution Services,1741910000,1032 Ministry of Devolution,2022,1032 Ministry of Devolution 0712000 Devolution Services
0732010 Human Resource and Support Services,,1032 Ministry of Devolution,2022,1032 Ministry of Devolution 0732010 Human Resource and Support Services
0732020 Finance Management Services,,1032 Ministry of Devolution,2022,1032 Ministry of Devolution 0732020 Finance Management Services
0732030 Information Communication and Technology,,1032 Ministry of Devolution,2022,1032 Ministry of Devolution 0732030 Information Communication and Technology
"0732000 General Administration, Planning and Support Services",,1032 Ministry of Devolution,2022,"1032 Ministry of Devolution 0732000 General Administration, Planning and Support Services"
0713010 Relief & Rehabilitation,,1032 Ministry of Devolution,2022,1032 Ministry of Devolution 0713010 Relief & Rehabilitation
0713000 Special Initiatives,,1032 Ministry of Devolution,2022,1032 Ministry of Devolution 0713000 Special Initiatives
0733010 ASAL Development,245600835,1035 State Department for Development of the ASAL,2022,1035 State Department for Development of the ASAL 0733010 ASAL Development
0733020 Drought Management,7301950000,1035 State Department for Development of the ASAL,2022,1035 State Department for Development of the ASAL 0733020 Drought Management
0733030 Administrative Services,235129651,1035 State Department for Development of the ASAL,2022,1035 State Department for Development of the ASAL 0733030 Administrative Services
0733040 Peace and Conflict Management,2636743214,1035 State Department for Development of the ASAL,2022,1035 State Department for Development of the ASAL 0733040 Peace and Conflict Management
0733000 Accelerated ASAL Development,10419423700,1035 State Department for Development of the ASAL,2022,1035 State Department for Development of the ASAL 0733000 Accelerated ASAL Development
0801010 National Defense,128437600000,1041 Ministry of Defence,2022,1041 Ministry of Defence 0801010 National Defense
0801000 Defence,128437600000,1041 Ministry of Defence,2022,1041 Ministry of Defence 0801000 Defence
0802010 Civil Aid,4e+08,1041 Ministry of Defence,2022,1041 Ministry of Defence 0802010 Civil Aid
0802000 Civil Aid,4e+08,1041 Ministry of Defence,2022,1041 Ministry of Defence 0802000 Civil Aid
0803010 Administrative and support services,2513960000,1041 Ministry of Defence,2022,1041 Ministry of Defence 0803010 Administrative and support services
0803020 Defence Policy and Planning,43740000,1041 Ministry of Defence,2022,1041 Ministry of Defence 0803020 Defence Policy and Planning
0803030 Defence Cooperation and Diplomacy,3e+07,1041 Ministry of Defence,2022,1041 Ministry of Defence 0803030 Defence Cooperation and Diplomacy
